iter	RMSE
497	943.5648019
498	943.5373694
499	943.534662
500	943.4910239
501	943.45589
502	943.3485891
503	943.2843034
504	943.2457244
505	943.2002429
506	943.1524663
507	943.0130037
508	942.9632455
509	942.8944134
510	942.8304386
511	942.8289867
512	942.6984257
513	942.6359861
514	942.5448368
515	942.4501774
516	942.4113547
517	942.3754437
518	942.3004305
519	942.2971697
520	942.1867583
521	942.1247453
522	942.0796237
523	942.0137287
524	941.9584303
525	941.9334847
526	941.8796439
527	941.8510066
528	941.8050323
529	941.7787187
530	941.6659873
531	941.5691177
532	941.4675221
533	941.4614664
534	941.4170292
535	941.357145
536	941.262636
537	941.1946427
538	941.0858472
539	941.0521156
540	940.9838522
541	940.9620765
542	940.8829691
543	940.7718057
544	940.7083483
545	940.6747848
546	940.6555434
547	940.6301142
548	940.5947752
549	940.5175153
550	940.4717047
551	940.416665
552	940.3829228
553	940.3398114
554	940.2697526
555	940.2356077
556	940.1587907
557	940.0870773
558	940.0250872
559	939.9179665
560	939.877494
561	939.7962197
562	939.7687013
563	939.7272225
564	939.6770899
565	939.6362787
566	939.6019263
567	939.5467729
568	939.5161163
569	939.4483813
570	939.4151413
571	939.4099944
572	939.3633214
573	939.2435687
574	939.2208602
575	939.182981
576	939.1520515
577	939.0684776
578	939.0153895
579	938.9526421
580	938.9182436
581	938.8235319
582	938.7614683
583	938.7109772
584	938.6882542
585	938.6080823
586	938.5958595
587	938.5666718
588	938.4855323
589	938.4596327
590	938.4079361
591	938.3171892
592	938.249254
593	938.2489024
594	938.1616007
595	938.1024506
596	937.9977871
597	937.8979318
598	937.880502
599	937.7848662
600	937.7621711
601	937.6938629
602	937.6274224
603	937.5705455
604	937.5201631
605	937.5078062
606	937.4609921
607	937.438361
608	937.3645747
609	937.3506302
610	937.3350719
611	937.3093776
612	937.1753435
613	937.0826308
614	937.010042
615	936.9572076
616	936.930456
617	936.8676088
618	936.8048587
619	936.752607
620	936.6572485
621	936.5326476
622	936.4820978
623	936.4031819
624	936.3107195
625	936.251269
626	936.240987
627	936.1335528
628	936.1184656
629	936.1077533
630	936.0487057
631	936.0034835
632	935.9367725
633	935.891922
634	935.8694756
635	935.8128373
636	935.8054328
637	935.7670151
638	935.7081433
639	935.6356086
640	935.5844277
641	935.5232052
642	935.4663773
643	935.431945
644	935.3847855
645	935.3423097
646	935.2992178
647	935.2488712
648	935.1701186
649	935.0786981
650	935.023099
651	934.9538022
652	934.9471244
653	934.8779943
654	934.8408947
655	934.806342
656	934.7942962
657	934.7400293
658	934.70989
659	934.6905876
660	934.6654509
661	934.6234588
662	934.5825971
663	934.5308253
664	934.4251168
665	934.3679517
666	934.3165977
667	934.2108099
668	934.1145474
669	934.0654893
670	933.9810596
671	933.8503361
672	933.7760922
673	933.6821353
674	933.5722268
675	933.515337
676	933.4156681
677	933.3789072
678	933.3072429
679	933.2716859
680	933.2177115
681	933.1819294
682	933.1700452
683	933.1413482
684	933.0955826
685	933.09007
686	933.084823
687	933.0484302
688	933.0323422
689	932.9490488
690	932.8150162
691	932.7542392
692	932.7429521
693	932.7154279
694	932.68453
695	932.6799628
696	932.6756737
697	932.6520374
698	932.5791109
699	932.565737
700	932.5308807
701	932.491882
702	932.447961
703	932.3235163
704	932.2886088
705	932.2206173
706	932.1986551
707	932.1436072
708	932.1244987
709	932.096482
710	932.0689708
711	932.0376355
712	932.0214922
713	931.9873952
714	931.9732496
715	931.9177144
716	931.9174277
717	931.8665954
718	931.7858263
719	931.7322296
720	931.6564279
721	931.5711281
722	931.4945658
723	931.457142
724	931.418467
725	931.3535996
726	931.2882384
727	931.2510729
728	931.1595934
729	931.1583202
730	931.0767521
731	931.0448006
732	930.9892154
733	930.9136091
734	930.870293
735	930.8077575
736	930.772838
737	930.7714022
738	930.7336556
739	930.7072785
740	930.637086
741	930.5934496
742	930.5498635
743	930.5285087
744	930.4625115
745	930.4478166
746	930.370246
747	930.3124067
748	930.2447671
749	930.2194921
750	930.1633853
751	930.0814204
752	930.0646406
753	930.0037728
754	929.8996537
755	929.8483332
756	929.7645187
757	929.7426103
758	929.6458694
759	929.5594287
760	929.5211833
761	929.4845928
762	929.439848
763	929.356292
764	929.3219192
765	929.2525635
766	929.2319428
767	929.196114
768	929.1472819
769	929.0679861
770	929.0154879
771	928.9584363
772	928.9127942
773	928.8441488
774	928.8249632
775	928.7831174
776	928.731711
777	928.6888244
778	928.678185
779	928.6176022
780	928.5691963
781	928.5081405
782	928.4469962
783	928.4073116
784	928.3420511
785	928.3376368
786	928.2429627
787	928.1784616
788	928.1056988
789	928.0729532
790	927.993578
791	927.9801295
792	927.9419916
793	927.9104615
794	927.8449977
795	927.8151076
796	927.7471153
797	927.6852115
798	927.667873
799	927.5931609
800	927.552033
801	927.5130343
802	927.5040059
803	927.4976702
804	927.4627839
805	927.4309234
806	927.379367
807	927.2928221
808	927.2437917
809	927.1886607
810	927.1427062
811	927.1310014
812	927.1227454
813	927.0263967
814	926.9401557
815	926.8927733
816	926.7910814
817	926.7245006
818	926.6657875
819	926.6049582
820	926.5350258
821	926.5052399
822	926.4525007
823	926.4122097
824	926.3292327
825	926.2604965
826	926.1961465
827	926.1959015
828	926.1359139
829	926.1188471
830	926.0529368
831	925.9761331
832	925.9142126
833	925.8515958
834	925.7998189
835	925.7537244
836	925.7307454
837	925.6942014
838	925.6578552
839	925.6576019
840	925.6264906
841	925.5789453
842	925.5111033
843	925.466017
844	925.4277124
845	925.382536
846	925.2611327
847	925.2290865
848	925.1809873
849	925.1605206
850	925.048887
851	925.0189515
852	924.9297321
853	924.8631804
854	924.8032327
855	924.750292
856	924.7255207
857	924.6587132
858	924.6181331
859	924.5611103
860	924.4868688
861	924.4061004
862	924.275611
863	924.2005998
864	924.1901562
865	924.138596
866	924.0820856
867	924.0074957
868	923.9442469
869	923.8904175
870	923.8291267
871	923.7920522
872	923.7191999
873	923.6860191
874	923.6172882
875	923.5584285
876	923.497748
877	923.4795856
878	923.4599143
879	923.4327594
880	923.3675836
881	923.2913265
882	923.2023681
883	923.1971917
884	923.1350374
885	923.1348251
886	923.077002
887	923.0615815
888	923.0019539
889	922.9388207
890	922.9095782
891	922.8502318
892	922.7569946
893	922.681364
894	922.6702788
895	922.6306642
896	922.6113877
897	922.5686771
898	922.5492963
899	922.52774
900	922.495947
901	922.4778457
902	922.4391847
903	922.3702757
904	922.3433603
905	922.30517
906	922.2700215
907	922.2269461
908	922.1699094
909	922.1278856
910	922.0759734
911	922.0334601
912	922.000834
913	921.9340138
914	921.9188349
915	921.8627452
916	921.8473411
917	921.8065584
918	921.7640641
919	921.7199322
920	921.6616962
921	921.5860852
922	921.5404566
923	921.4708448
924	921.3953387
925	921.3219027
926	921.2491666
927	921.194396
928	921.1605861
929	921.0973267
930	921.0355528
931	921.0028088
932	921.0026149
933	920.9216558
934	920.863103
935	920.823073
936	920.8121444
937	920.7960864
938	920.7818542
939	920.7512406
940	920.6534822
941	920.6266994
942	920.5782003
943	920.5140821
944	920.4900556
945	920.4496089
946	920.4040216
947	920.3434434
948	920.3183206
949	920.281167
950	920.2350159
951	920.1990803
952	920.1724093
953	920.1416297
954	920.0560092
955	920.032064
956	919.9866291
957	919.9633389
958	919.8942309
959	919.8716382
960	919.7857007
961	919.7453155
962	919.7167021
963	919.6814267
964	919.5925974
965	919.54013
966	919.4821748
967	919.3917898
968	919.3569312
969	919.3187081
970	919.2351636
971	919.1376834
972	919.0679584
973	918.9883999
974	918.898051
975	918.8372677
976	918.7472931
977	918.6564179
978	918.6054774
979	918.5264688
980	918.5171971
981	918.4442852
982	918.4019523
983	918.3402364
984	918.2973406
985	918.2946208
986	918.2725018
987	918.2608868
988	918.2496911
989	918.2232826
990	918.1513738
991	918.0807632
992	918.0139328
993	918.0059573
994	917.979265
995	917.9588332
996	917.9426736
997	917.9138514
998	917.8262105
999	917.7644695
