iter	Passed	Remaining
400	15410	23019
401	15436	22963
402	15465	22910
403	15497	22862
404	15524	22807
405	15550	22751
406	15575	22693
407	15604	22641
408	15631	22587
409	15661	22537
410	15687	22482
411	15717	22431
412	15743	22375
413	15765	22315
414	15792	22262
415	15820	22209
416	15845	22152
417	15873	22101
418	15904	22053
419	15929	21998
420	15953	21941
421	15979	21886
422	16006	21834
423	16034	21783
424	16063	21732
425	16092	21682
426	16123	21636
427	16147	21580
428	16176	21530
429	16206	21482
430	16229	21426
431	16258	21376
432	16287	21327
433	16320	21284
434	16348	21233
435	16374	21182
436	16400	21129
437	16424	21073
438	16451	21023
439	16476	20969
440	16503	20919
441	16533	20872
442	16555	20816
443	16580	20762
444	16602	20706
445	16630	20657
446	16654	20604
447	16681	20553
448	16709	20505
449	16740	20460
450	16768	20412
451	16797	20365
452	16821	20312
453	16852	20267
454	16882	20221
455	16914	20178
456	16938	20125
457	16967	20078
458	16990	20026
459	17016	19975
460	17041	19924
461	17071	19879
462	17105	19839
463	17133	19792
464	17171	19756
465	17198	19708
466	17234	19670
467	17270	19632
468	17307	19595
469	17335	19548
470	17361	19498
471	17386	19449
472	17411	19399
473	17435	19348
474	17459	19296
475	17485	19248
476	17513	19201
477	17540	19155
478	17564	19104
479	17592	19058
480	17618	19010
481	17647	18965
482	17673	18917
483	17698	18868
484	17722	18818
485	17749	18772
486	17777	18726
487	17806	18682
488	17830	18632
489	17854	18583
490	17880	18536
491	17910	18492
492	17938	18447
493	17961	18397
494	17988	18351
495	18013	18303
496	18039	18257
497	18065	18210
498	18090	18163
499	18117	18117
500	18148	18075
501	18174	18029
502	18200	17983
503	18227	17938
504	18251	17889
505	18275	17842
506	18302	17797
507	18334	17757
508	18357	17708
509	18382	17662
510	18406	17613
511	18428	17565
512	18457	17521
513	18482	17475
514	18507	17429
515	18536	17386
516	18560	17339
517	18585	17294
518	18611	17249
519	18634	17201
520	18663	17158
521	18689	17114
522	18720	17073
523	18748	17031
524	18774	16986
525	18798	16940
526	18822	16893
527	18849	16850
528	18876	16807
529	18906	16766
530	18934	16723
531	18960	16679
532	18989	16637
533	19014	16592
534	19037	16546
535	19065	16504
536	19092	16461
537	19121	16419
538	19148	16377
539	19180	16338
540	19207	16296
541	19237	16256
542	19271	16219
543	19300	16178
544	19327	16136
545	19359	16097
546	19389	16057
547	19414	16013
548	19438	15968
549	19465	15926
550	19492	15884
551	19519	15842
552	19543	15797
553	19566	15752
554	19593	15709
555	19616	15665
556	19645	15624
557	19673	15583
558	19698	15540
559	19725	15498
560	19747	15452
561	19774	15411
562	19806	15373
563	19834	15333
564	19859	15289
565	19883	15246
566	19913	15207
567	19939	15164
568	19962	15120
569	19987	15078
570	20014	15037
571	20042	14997
572	20066	14953
573	20092	14911
574	20125	14875
575	20148	14831
576	20171	14787
577	20199	14748
578	20225	14706
579	20249	14663
580	20277	14623
581	20305	14583
582	20335	14545
583	20364	14506
584	20387	14463
585	20411	14420
586	20437	14379
587	20466	14340
588	20491	14298
589	20519	14259
590	20547	14219
591	20573	14179
592	20598	14137
593	20619	14093
594	20644	14052
595	20675	14014
596	20710	13980
597	20739	13941
598	20770	13904
599	20799	13866
600	20828	13827
601	20858	13790
602	20891	13754
603	20920	13716
604	20950	13678
605	20980	13641
606	21007	13601
607	21034	13561
608	21060	13521
609	21093	13485
610	21119	13445
611	21148	13407
612	21180	13371
613	21216	13338
614	21247	13301
615	21279	13265
616	21314	13230
617	21349	13196
618	21384	13162
619	21410	13122
620	21438	13083
621	21464	13044
622	21488	13003
623	21524	12969
624	21550	12930
625	21577	12891
626	21601	12850
